,ra,dec,phot_g_mean_mag,source_id
0,190.6773075026941,8.0123308906004,12.20564,3710694930194636672
1,250.246940930108,24.332745345080447,12.678221,1299837840290894208
2,129.65775617936404,-46.55676730001093,11.89565,5521612777549913088
3,200.88809945218318,-62.52090789587661,13.155975,5868299273531920512
4,292.56394779945185,-78.17006848886278,10.356856,6365839623773507840
5,180.15160763517227,-42.14435059831139,12.417672,6148844922358378624
6,7.373824958027892,39.473838884580886,12.497392,379349176784451456
7,146.923766476242,79.45661264581943,13.250336,1132222687114021248
8,174.8791463961821,-41.85963965577232,12.352755,5381040864460655872
9,180.59102265894046,2.139297047070209,12.396959,3891976321412108160
10,5.132581752890098,77.65756853764819,13.00064,564358294675357568
11,159.14765705327937,29.28355199292696,12.44529,735267992707085440
12,169.95323005996644,-36.99248618801688,11.878213,5397206404105666688
13,331.3904146766525,15.14907614102014,12.531801,1774513360940568832
14,194.52614953860245,-70.90625357670874,12.891095,5843793049116601984
15,174.28252006564514,-30.18855447668229,11.349478,3479026833791464320
16,15.911748503282375,-79.54068311176826,11.993453,4631793921436525312
17,173.5612250986298,-17.327345483055158,11.637177,3547871414333625984
18,215.00448605521962,-63.64244930711988,12.911153,5852985275630678272
19,269.46600702306245,36.54835952306014,10.648467,4609530533258729600
20,350.27045624029256,44.820983141278745,11.321949,1937844065198243968
21,320.63204768968984,55.0553236469765,9.706246,2176305356769539456
22,102.43003975764113,-53.8409420505626,9.027166,5497618547596953472
23,165.34775754189124,-0.4659173854092485,12.89767,3804559340208137216
24,303.45178210027905,30.69790004397701,12.483068,2053726302953161472
25,128.00168900956658,-21.591397178034143,11.787665,5703133454266918400
26,327.7341438545965,53.31132025399018,13.235373,2173577708938213888
27,171.1499834023629,37.877550654478966,10.621934,761057935584763648
28,261.51596737458823,60.57524126407115,8.943738,1435900239563390464
29,305.21312519682783,81.07352341254814,12.858243,2298284695704022528
30,306.4354013113964,40.06510336304929,11.612837,2067290187609581696
31,332.52133664805683,35.280990803161345,11.366924,1906449980270298368
32,156.1016077110824,-57.70829644665342,12.675405,5351755234815250304
33,330.4517389706256,-79.67550491457685,11.078461,6354806265106539520
34,11.13189479020424,-7.657817465499018,12.431341,2522549093122910592
35,314.73346953288484,-55.76035290547318,11.865068,6457932312534052096
36,154.00342642572718,-33.200283245598996,11.075428,5459074892609097216
37,138.74436484516585,-59.77052696213116,13.159535,5300252220388145664
38,120.83731761977934,27.97435463052423,12.928946,876033213667969664
39,324.2657071815404,-65.62835101126332,11.940941,6400651364499669376
40,316.87267521177534,67.81133293902495,12.787617,2270008142855861632
41,175.58557389748452,50.75573933917563,12.302581,790907782197975040
42,186.8955067442429,-9.71193460242539,9.950117,3579373758203000704
43,282.48465729812267,54.10467608176764,12.934588,2146838616929284608
44,139.3906804866918,10.36811730945665,12.165819,591071131532840960
45,300.76251839002583,-34.58672947080778,12.49274,6698671242430501760
46,179.55894004007678,-42.992021485743635,12.159162,5380133428067294336
47,17.215359618902188,-60.728698063875434,12.39096,4902907895136350336
48,325.24420267069644,78.82488797337706,12.395332000000002,2285089319219646976
49,329.4343269174116,23.58644105373104,10.721984,1794930334091349632
50,354.8066491574805,66.50623831456946,12.775861,2209955085491929088
51,327.2261443963427,-47.223076055661856,12.230517,6564095000623003776
52,313.19679981697516,-49.08031739460685,12.931858,6481275219270509568
53,289.7348634662532,78.15058791654978,10.981868,2293068509461347456
54,4.279345196658442,79.94251743592598,13.041282,564985566059317248
55,304.7328456725024,48.34020558661218,11.909351,2084248913225887104
56,150.28675203222582,-22.319378942385544,12.763368,5666784076590224256
57,325.42542891232733,25.19027731731355,11.385055,1797966051335964672
58,161.73237888367578,-15.880150599342947,9.739053,3557275537285069440
